date,user_name,text
2010-05-03 16:43:00,realDonaldTrump,Providing backstage commentary at the Miss USA Pageant will be comedic mother-daughter duo Joan and Melissa Rivers. A fantastic lineup!
2010-05-05 19:57:00,realDonaldTrump,We're all very happy to hear of Bret Michael's progress and send our best wishes for his full recovery.
2010-05-13 21:53:00,realDonaldTrump,"Looking forward to the 2010 Miss USA Pageant, Sunday May 16 on NBC, 7 p.m. ET, hosted by Curtis Stone & Natalie Morales live from Las Vegas."
2010-05-17 16:48:00,realDonaldTrump,"Congratulations to our new Miss USA,  the beautiful Rima Fakih.  Rima will represent us well at Miss Universe and be a wonderful Miss USA ."
2010-05-19 16:58:00,realDonaldTrump,Put  this on your calendar: The Celebrity Apprentice live finale is this Sunday at 9 p.m. on NBC. Who will be the next Celebrity Apprentice?
2010-05-20 14:33:00,realDonaldTrump,"Check out Ivanka's new FaceBook page and keep up with what's happening--from The Celebrity Apprentice, to jewlery to free tickets and more.."
2010-05-20 16:22:00,realDonaldTrump,The latest update on Bret Michaels is that he's making every effort to attend the live finale of Celebrity Apprentice on Sunday--so tune in!
2010-05-21 13:54:00,realDonaldTrump,Who's your pick--@bretmichaels or @hollyrpeete ? Vote now on Ivanka's new Facebook page! http://ow.ly/1NfMt
2010-05-24 15:03:00,realDonaldTrump,"Congratulations to Bret Michaels, the new Celebrity Apprentice. Bret's a true champion, all of us were happy to see him and to see him win!"
2010-05-25 13:16:00,realDonaldTrump,Ivanka caught up with Bret and Holly backstage. Both Bret and Holly were champions all the way.   http://bit.ly/ckmKKU
2010-05-25 15:31:00,realDonaldTrump,The ratings for the Celebrity Apprentice were fantastic and everyone had a great time. It was a terrific season -- congrats to everyone!
2010-05-26 13:51:00,realDonaldTrump,"Scotland is beautiful. I spent several years looking for the right place, visiting over 200 sites, and this is absolutely the right place!"
2010-05-26 19:59:00,realDonaldTrump,"The North Coast of Scotland is spectacular--the sea, the sand dunes, the rolling bluffs--we walked the course and it is fantastic."
2010-05-27 17:24:00,realDonaldTrump,"The Dunes here are amazing, and  they're how I learned about geomorphology, which is the study of movement landforms. We've had a great trip"
2010-05-28 16:24:00,realDonaldTrump,"Wishing everyone a Happy Memorial Day Weekend, with a special thought for all the veterans who have done so much for our freedom."
2010-06-02 20:37:00,realDonaldTrump,I'll be turning the table on Larry King this Saturday night.  I'll be interviewing him in honor of the 25th Anniversary of his show.
2010-06-04 14:22:00,realDonaldTrump,Checking out the course at TNGC Westchester and it is fantastic. Should be a great season. http://www.trumpnationalwestchester.com/
2010-06-04 18:08:00,realDonaldTrump,"Be sure to watch the Larry King Show tomorrow night on CNN, 9 p.m. I'll be the host, Larry the guest. http://larrykinglive.blogs.cnn.com/"
2010-06-05 23:33:00,realDonaldTrump,Tonight I trade places with Larry King @kingsthings and interview him on the 25th anniversary of his show. 9PM on CNN featuring best clips.
2010-06-08 18:55:00,realDonaldTrump,I am honored to be chosen by Gray Line for their NY Ride of Fame Campaign. Today we had the ribbon cutting ceremony in front of Trump Tower.
2010-06-09 13:03:00,realDonaldTrump,Check out Gray Line's site for the Donald Trump Ride of Fame... http://www.newyorksightseeing.com/
2010-06-09 13:46:00,realDonaldTrump,"Rima Fakih, our beautiful Miss USA, rode with me on the Gray Line Ride of Fame yesterday...  http://www.missuniverse.com/missusa"
